2011-04-25 18:21:09 install libice6 <none> 2:1.0.6-1
2011-04-25 18:21:09 status half-installed libice6 2:1.0.6-1
2011-04-25 18:21:09 status unpacked libice6 2:1.0.6-1
2011-04-25 18:21:09 status unpacked libice6 2:1.0.6-1
2011-04-25 18:21:09 install libsm6 <none> 2:1.1.1-1
2011-04-25 18:21:09 status half-installed libsm6 2:1.1.1-1
2011-04-25 18:21:09 status unpacked libsm6 2:1.1.1-1
2011-04-25 18:21:09 status unpacked libsm6 2:1.1.1-1
2011-04-25 18:21:09 install libwxbase2.6-0 <none> 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:09 status half-installed libwxbase2.6-0 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:10 status unpacked libwxbase2.6-0 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:10 status unpacked libwxbase2.6-0 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:10 install libwxbase2.8-0 <none> 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:10 status half-installed libwxbase2.8-0 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:10 status unpacked libwxbase2.8-0 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:10 status unpacked libwxbase2.8-0 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:11 install libglu1-mesa <none> 7.7.1-1ubuntu3
2011-04-25 18:21:11 status half-installed libglu1-mesa 7.7.1-1ubuntu3
2011-04-25 18:21:11 status unpacked libglu1-mesa 7.7.1-1ubuntu3
2011-04-25 18:21:11 status unpacked libglu1-mesa 7.7.1-1ubuntu3
2011-04-25 18:21:11 install libwxgtk2.6-0 <none> 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:11 status half-installed libwxgtk2.6-0 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:12 status unpacked libwxgtk2.6-0 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:12 status unpacked libwxgtk2.6-0 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:12 install libwxgtk2.8-0 <none> 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:12 status half-installed libwxgtk2.8-0 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:14 status unpacked libwxgtk2.8-0 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:14 status unpacked libwxgtk2.8-0 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:14 install python-wxgtk2.8 <none> 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:14 status half-installed python-wxgtk2.8 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:19 status unpacked python-wxgtk2.8 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:20 status unpacked python-wxgtk2.8 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:20 install python-wxversion <none> 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:20 status half-installed python-wxversion 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:20 status unpacked python-wxversion 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:20 status unpacked python-wxversion 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:20 install python-wxgtk2.6 <none> 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:20 status half-installed python-wxgtk2.6 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:23 status unpacked python-wxgtk2.6 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:23 status unpacked python-wxgtk2.6 2.6.3.2.2-3ubuntu5.1
2011-04-25 18:21:23 install python-wxtools <none> 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:23 status half-installed python-wxtools 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:23 status half-installed python-wxtools 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:23 status unpacked python-wxtools 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:23 status unpacked python-wxtools 2.8.10.1-0ubuntu1.2
2011-04-25 18:21:23 install libgl1-mesa-dri <none> 7.7.1-1ubuntu3
2011-04-25 18:21:23 status half-installed libgl1-mesa-dri 7.7.1-1ubuntu3
2011-04-25 18:21:27 status unpacked libgl1-mesa-dri 7.7.1-1ubuntu3
2011-04-25 18:21:27 status unpacked libgl1-mesa-dri 7.7.1-1ubuntu3
2011-04-25 18:21:27 trigproc man-db 2.5.7-2 2.5.7-2
2011-04-25 18:21:27 status half-configured man-db 2.5.7-2
